at,am,tm,mb,ab,ca,cb,za0,za0_se,za1,za1_se,za2,za2_se,za3,za3_se,za4,za4_se,za5,za5_se,proportion_treated,init_at,init_am,init_tm,init_mb,init_ca,init_cb,true,z0_mb,z0_mb_se,z1_mb,z1_mb_se,z2_mb,z2_mb_se,z3_mb,z3_mb_se,z4_mb,z4_mb_se,z5_mb,z5_mb_se,model,_LCI,_UCI,_WT
.6423848,.9390892,.5836296,-.7178711,-.6527242,.3572646,.2093162,-.5858417,.0044084,-.5880051,.0042637,-.5727935,.0043105,-.9038413,.0089777,-.5749154,.0041669,-.8624139,.008021,.4178288,1,1,-.2,-.6,1,1,-.6,-.0235972,-.0073473,-.0199915,-.0071061,-.0453441,-.0071842,.506402,-.0149629,-.0418077,-.0069448,.4373564,-.0133683,"",-.0060637,-.0339193,0
.6216275,.9394835,.5646099,-.7804756,-.7145079,.3563237,.1424799,-.6945428,.005506,-.6951128,.0052985,-.680324,.0053961,-1.203737,.0166081,-.6808845,.0051922,-1.136342,.0146503,.6794292,1,1,-.2,-.7,1,1,-.7,-.0077959,-.0078657,-.0069817,-.0075693,-.0281086,-.0077087,.7196238,-.0237259,-.0273078,-.0074174,.6233456,-.020929,"",.0078538,-.0218172,0
.6483924,.9394399,.5892529,-.8257335,-.7585615,.3556626,.0881692,-.7970249,.0052268,-.799866,.005113,-.7785826,.0051068,-1.298236,.0144044,-.7813634,.0049936,-1.235523,.0127311,.5276946,1,1,-.2,-.8,1,1,-.8,-.0037189,-.0065335,-.0001676,-.0063912,-.0267717,-.0063836,.6227955,-.0180055,-.0232958,-.0062421,.5444043,-.0159139,"",.012359,-.0126941,0
.6444213,.939249,.585639,-.8578464,-.7900717,.3550111,.046727,-.8952368,.0062779,-.8958835,.0061806,-.8751426,.0061211,-1.486543,.0176524,-.8757762,.0060253,-1.40466,.0160284,.5723922,1,1,-.2,-.9,1,1,-.9,-.0052924,-.0069754,-.0045739,-.0068674,-.0276193,-.0068012,.6517141,-.0196138,-.0269153,-.0066947,.5607334,-.0178093,"",.008886,-.0180337,0
.6402259,.9393635,.5819508,-.8836157,-.8158965,.3547807,.0083285,-.9950339,.0071915,-.994652,.0067754,-.9732623,.0070118,-1.519512,.0147967,-.9728854,.0066048,-1.446533,.013109,.4009009,1,1,-.2,-1,1,1,-1,-.0049661,-.0071915,-.005348,-.0067754,-.0267377,-.0070118,.5195124,-.0147967,-.0271146,-.0066048,.4465327,-.013109,"",.0079316,-.0186276,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.0025079,.0031649,,,,,,,,,"z0_mb",-.008711,.0036952,17.30312
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.0028866,.0022107,,,,,,,,,"z1_mb",-.0072195,.0014462,35.4647
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.0228151,.0030954,,,,,,,,,"z2_mb",-.028882,-.0167482,18.08905
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.4701308,.0061008,,,,,,,,,"z3_mb",.4581735,.4820882,4.65666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.0235911,.0030207,,,,,,,,,"z4_mb",-.0295116,-.0176705,18.99424
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.410624,.0056176,,,,,,,,,"z5_mb",.3996137,.4216343,5.492234
